event_definition;coding_system;code;code_name;concept;concept_name;tags;system;event_abbreviation;type
PE;ICD10;O14;;;;;P;PE;
PE;ICD10;O14.0;;;;narrow;P;PE;
PE;ICD10;O14.1;;;;narrow;P;PE;
PE;ICD10;O14.9;;;;narrow;P;PE;
PE;ICD10ES;O14.0;;;;narrow;P;PE;
PE;ICD10ES;O14.00;;;;narrow;P;PE;
PE;ICD10ES;O14.02;;;;narrow;P;PE;
PE;ICD10ES;O14.03;;;;narrow;P;PE;
PE;ICD10ES;O14.04;;;;narrow;P;PE;
PE;ICD10ES;O14.05;;;;narrow;P;PE;
PE;ICD10ES;O14.1;;;;narrow;P;PE;
PE;ICD10ES;O14.10;;;;narrow;P;PE;
PE;ICD10ES;O14.12;;;;narrow;P;PE;
PE;ICD10ES;O14.13;;;;narrow;P;PE;
PE;ICD10ES;O14.14;;;;narrow;P;PE;
PE;ICD10ES;O14.15;;;;narrow;P;PE;
PE;ICD10ES;O14.9;;;;narrow;P;PE;
PE;ICD10ES;O14.90;;;;narrow;P;PE;
PE;ICD10ES;O14.92;;;;narrow;P;PE;
PE;ICD10ES;O14.93;;;;narrow;P;PE;
PE;ICD10ES;O14.94;;;;narrow;P;PE;
PE;ICD10ES;O14.95;;;;narrow;P;PE;
PE;ICD9;642.4;;;;narrow;P;PE;
PE;ICD9;642.5;;;;narrow;P;PE;
PE;ICD9;642.7;;;;narrow;P;PE;
PE;READ;L124.;;;;narrow;P;PE;
PE;READ;L1240;;;;narrow;P;PE;
PE;READ;L1241;;;;narrow;P;PE;
PE;READ;L1242;;;;narrow;P;PE;
PE;READ;L1243;;;;narrow;P;PE;
PE;READ;L1244;;;;narrow;P;PE;
PE;READ;L1245;;;;narrow;P;PE;
PE;READ;L1246;;;;narrow;P;PE;
PE;READ;L124z;;;;narrow;P;PE;
PE;READ;L125.;;;;narrow;P;PE;
PE;READ;L1250;;;;narrow;P;PE;
PE;READ;L1251;;;;narrow;P;PE;
PE;READ;L1252;;;;narrow;P;PE;
PE;READ;L1253;;;;narrow;P;PE;
PE;READ;L1254;;;;narrow;P;PE;
PE;READ;L125z;;;;narrow;P;PE;
PE;READ;L127.;;;;narrow;P;PE;
PE;READ;L1270;;;;narrow;P;PE;
PE;READ;L1271;;;;narrow;P;PE;
PE;READ;L1272;;;;narrow;P;PE;
PE;READ;L1273;;;;narrow;P;PE;
PE;READ;L1274;;;;narrow;P;PE;
PE;READ;L127z;;;;narrow;P;PE;
PE;READ;L128.;;;;narrow;P;PE;
PE;READ;L1280;;;;narrow;P;PE;
PE;READ;L1281;;;;narrow;P;PE;
PE;READ;L1282;;;;narrow;P;PE;
PE;READ;L129.;;;;narrow;P;PE;
PE;ICPC2;W81;;;;;P;PE;
Eclampsia;ICD10;O15;;;;narrow;P;ECL;
Eclampsia;ICD10ES;O15.0;;;;narrow;P;ECL;
Eclampsia;ICD10ES;O15.00;;;;narrow;P;ECL;
Eclampsia;ICD10ES;O15.02;;;;narrow;P;ECL;
Eclampsia;ICD10ES;O15.03;;;;narrow;P;ECL;
Eclampsia;ICD10ES;O15.1;;;;narrow;P;ECL;
Eclampsia;ICD10ES;O15.2;;;;narrow;P;ECL;
Eclampsia;ICD10ES;O15.9;;;;narrow;P;ECL;
Eclampsia;ICD9;642.6;;;;narrow;P;ECL;
Eclampsia;READ;L126.;;;;narrow;P;ECL;
Eclampsia;READ;L1260;;;;narrow;P;ECL;
Eclampsia;READ;L1261;;;;narrow;P;ECL;
Eclampsia;READ;L1262;;;;narrow;P;ECL;
Eclampsia;READ;L1263;;;;narrow;P;ECL;
Eclampsia;READ;L1264;;;;narrow;P;ECL;
Eclampsia;READ;L1265;;;;narrow;P;ECL;
Eclampsia;READ;L1266;;;;narrow;P;ECL;
Eclampsia;READ;L126z;;;;narrow;P;ECL;
HELLP;ICD10;O142;;;;narrow;P;HELLP;
HELLP;ICD10ES;O14.2;;;;narrow;P;HELLP;
HELLP;ICD10ES;O14.20;;;;narrow;P;HELLP;
HELLP;ICD10ES;O14.22;;;;narrow;P;HELLP;
HELLP;ICD10ES;O14.23;;;;narrow;P;HELLP;
HELLP;ICD10ES;O14.24;;;;narrow;P;HELLP;
HELLP;ICD10ES;O14.25;;;;narrow;P;HELLP;
HELLP;READ;L12A.;;;;narrow;P;HELLP;
