event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type
PE,ICD10,O14.0,,,,narrow,,,
PE,ICD10,O14.1,,,,narrow,,,
PE,ICD10,O14.9,,,,narrow,,,
PE,ICD9,642.4,,,,narrow,,,
PE,ICD9,642.5,,,,narrow,,,
PE,ICD9,642.7,,,,narrow,,,
PE,RCD,L124.,,,,narrow,,,
PE,RCD,L1240,,,,narrow,,,
PE,RCD,L1241,,,,narrow,,,
PE,RCD,L1242,,,,narrow,,,
PE,RCD,L1243,,,,narrow,,,
PE,RCD,L1244,,,,narrow,,,
PE,RCD,L1245,,,,narrow,,,
PE,RCD,L1246,,,,narrow,,,
PE,RCD,L124z,,,,narrow,,,
PE,RCD,L125.,,,,narrow,,,
PE,RCD,L1250,,,,narrow,,,
PE,RCD,L1251,,,,narrow,,,
PE,RCD,L1252,,,,narrow,,,
PE,RCD,L1253,,,,narrow,,,
PE,RCD,L1254,,,,narrow,,,
PE,RCD,L125z,,,,narrow,,,
PE,RCD,L127.,,,,narrow,,,
PE,RCD,L1270,,,,narrow,,,
PE,RCD,L1271,,,,narrow,,,
PE,RCD,L1272,,,,narrow,,,
PE,RCD,L1273,,,,narrow,,,
PE,RCD,L1274,,,,narrow,,,
PE,RCD,L127z,,,,narrow,,,
PE,RCD,L128.,,,,narrow,,,
PE,RCD,L1280,,,,narrow,,,
PE,RCD,L1281,,,,narrow,,,
PE,RCD,L1282,,,,narrow,,,
PE,RCD,L129.,,,,narrow,,,
Eclampsia,ICD10,O15,,,,narrow,,,
Eclampsia,ICD9,642.6,,,,narrow,,,
Eclampsia,RCD,L126.,,,,narrow,,,
Eclampsia,RCD,L1260,,,,narrow,,,
Eclampsia,RCD,L1261,,,,narrow,,,
Eclampsia,RCD,L1262,,,,narrow,,,
Eclampsia,RCD,L1263,,,,narrow,,,
Eclampsia,RCD,L1264,,,,narrow,,,
Eclampsia,RCD,L1265,,,,narrow,,,
Eclampsia,RCD,L1266,,,,narrow,,,
Eclampsia,RCD,L126z,,,,narrow,,,
HELLP,ICD10,O142,,,,narrow,,,
HELLP,RCD,L12A.,,,,narrow,,,
