event_definition,variable_name,coding_system,event_code,tags,code_no_dot
Depression,Ment_DEPRESSION_COV,ICD10,F32,narrow,F32
Depression,Ment_DEPRESSION_COV,ICD10,F33,narrow,F33
Depression,Ment_DEPRESSION_COV,ICD10,F34,narrow,F34
Depression,Ment_DEPRESSION_COV,ICD10,F39,narrow,F39
Depression,Ment_DEPRESSION_COV,ICD10,F41.2,narrow,F412
Depression,Ment_DEPRESSION_COV,ICD10,F92.0,narrow,F920
Depression,Ment_DEPRESSION_COV,ICD10CM,F32,narrow,F32
Depression,Ment_DEPRESSION_COV,ICD10CM,F33,narrow,F33
Depression,Ment_DEPRESSION_COV,ICD10CM,F33.41,narrow,F3341
Depression,Ment_DEPRESSION_COV,ICD10CM,F34,narrow,F34
Depression,Ment_DEPRESSION_COV,ICD10CM,F39,narrow,F39
Depression,Ment_DEPRESSION_COV,ICD10CM,F53,narrow,F53
Depression,Ment_DEPRESSION_COV,ICD10CM,F41.8,narrow,F418
Depression,Ment_DEPRESSION_COV,ICD9CM,296,narrow,296
Depression,Ment_DEPRESSION_COV,ICD9CM,296.82,narrow,29682
Depression,Ment_DEPRESSION_COV,ICD9CM,296.90,narrow,29690
Depression,Ment_DEPRESSION_COV,ICD9CM,311,narrow,311
Depression,Ment_DEPRESSION_COV,ICD9CM,300.4,narrow,3004
Depression,Ment_DEPRESSION_COV,ICD9CM,301.12,narrow,30112
Depression,Ment_DEPRESSION_COV,ICPC,P76,narrow,P76
Depression,Ment_DEPRESSION_COV,RCD2,E11..,narrow,E11
Depression,Ment_DEPRESSION_COV,RCD2,E11y2,narrow,E11y2
Depression,Ment_DEPRESSION_COV,RCD2,E11z2,narrow,E11z2
Depression,Ment_DEPRESSION_COV,RCD2,Eu3..,narrow,Eu3
Depression,Ment_DEPRESSION_COV,RCD2,E2B..,narrow,E2B
Depression,Ment_DEPRESSION_COV,RCD2,62T1.,narrow,62T1
Depression,Ment_DEPRESSION_COV,RCD2,E130.,narrow,E130
Depression,Ment_DEPRESSION_COV,RCD2,E135.,narrow,E135
Depression,Ment_DEPRESSION_COV,RCD2,E204.,narrow,E204
